遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
我在法国已经一个礼拜多了，事件真过著很快．．．我这一次来法国碰到很多很有意思的事，我想跟妳说说。	我在法国已经一个礼拜多了，时间真过著很快．．．我这一次来法国碰到很多很有意思的事，我想跟妳说说。
妳给我的台湾乌龙茶，我爸爸给我的高粱酒，我自己买的原族民音乐，我都给他了，他非常高兴，我就跟妳说，礼多人不怪！	妳给我的台湾乌龙茶，我爸爸给我的高粱酒，我自己买的原住民音乐，我都给他了，他非常高兴，我就跟妳说，礼多人不怪！
然后他每天都有带我去城市里，天天都很忙，很累，可是真划得来。	然后他每天都有带我去城市里，天天都很忙，很累，可是真划得来。
我们当然有去巴黎铁塔，罗浮宫博物馆，Ｖｅｒｓａｉｌｌｅｓ城堡，等等。	我们当然有去巴黎铁塔，罗浮宫博物馆，Ｖｅｒｓａｉｌｌｅｓ城堡，等等。
我今天早上去了「新店」区。台北交通非常方便，从我家走到捷任轫站是十分钟。从「台电大楼」站到「新店」站只要十三分钟。	我今天早上去了「新店」区。台北交通非常方便，从我家走到捷运车站是十分钟。从「台电大楼」站到「新店」站只要十三分钟。
在垦丁的时候我碰到的问题是我不知道该如何在四天里去做完所有的事因为垦丁太多好玩和可做的事所以我建议你一定要尝试一下垦丁好玩的地方在哪里！	在垦丁的时候我碰到的问题是我不知道该如何在四天里去做完所有的事因为垦丁太多好玩和可做的事所以我建议你一定要尝试一下垦丁好玩的地方在哪里！
昨天天气很好，我出去外面去玩，我跟家人去一个很美的地方，这是台湾的动物园。	昨天天气很好，我出去外面去玩，我跟家人去一个很美的地方，这是台湾的动物园。
你知道吗？在那里不但有很多动物，而且有很多美的风景，还有很多好美的树，环境也很好。	你知道吗？在那里不但有很多动物，而且有很多美的风景，还有很多好美的树，环境也很好。
来动物园参观的人很多，除了大人意外，还有很多孩子，看来很热闹。	来动物园参观的人很多，除了大人以外，还有很多孩子，看来很热闹。
在那里甚么动物都有，你可以欣赏很多动物像老虎啊、熊猫啊、马啊，甚么的。	在那里甚么动物都有，你可以欣赏很多动物像老虎啊、熊猫啊、马啊，甚么的。
去参观的时候，虽然有很高兴，可是也有一点问题，这是我的肚子被痛，让全家很著急，幸会我们带著药，要不然很难解决，不知道怎么做才好。	去参观的时候，虽然有很高兴，可是也有一点问题，这是我的肚子被痛，让全家很著急，幸亏我们带著药，要不然很难解决，不知道怎么做才好。
我觉得曼谷的风景跟台湾块一样。	我觉得曼谷的风景跟台湾快一样。
因为我的德国朋友陪了我，我见识到很好的经验。认识他给我带来很好的机会。我现在比较懂得国人的个性、文化等！这样的经验我这辈子忘不了！	因为我的德国朋友陪了我，我见识到很好的经验。认识他给我带来很好的机会。我现在比较懂德国人的个性、文化等！这样的经验我这辈子忘不了！
妳好，妳还记的我马？我刚刚从澳洲回来的。	妳好，妳还记得我吗？我刚刚从澳洲回来的。
Ｐｅｒｔｈ是很多山还有术的地方。人市也不多不过这个地方很安定。	Ｐｅｒｔｈ是很多山还有树的地方。人是也不多不过这个地方很安定。
我跟男朋友也希望妳可以跟我们一起去。真的很好玩。希望下个假我们可以一起去录行。	我跟男朋友也希望妳可以跟我们一起去。真的很好玩。希望下个假我们可以一起去旅行。
除了这个事情以外，我在韩国玩的事情都很呕意思了。还有我买了你的礼物。下次见面的时候我要给你！	除了这个事情以外，我在韩国玩的事情都很有意思了。还有我买了你的礼物。下次见面的时候我要给你！
我现在很好阿！旅行以后我觉得很轻松。我放假的时候去荷兰。那个地方是在欧洲。在德国的左边。我觉得那家是一个有一点奇怪的国家，可是算是好啊！	我现在很好啊！旅行以后我觉得很轻松。我放假的时候去荷兰。那个地方是在欧洲。在德国的左边。我觉得那家是一个有一点奇怪的国家，可是算是好啊！
我坐飞机去荷兰，很方便，现在也很便宜，下次你跟我去好吧？	我坐飞机去荷兰，很方便，现在也很便宜，下次你跟我去好吧？
我不喜欢参加旅行团，所以决定我一个人去，这个办法没有旅行团这么便宜，可是让我独立。	我不喜欢参加旅行团，所以决定我一个人去，这个办法没有旅行团这么便宜，可是让我独立。
虽然大部分很穷，可是他们都很大方；他们对我非常好。	虽然大部分很穷，可是他们都很大方；他们对我非常好。
印度北部的特色是沙漠，南部都是森林，还有西部东部的沙滩都漂亮的没话说；看北部的高山让我觉得很高兴还有内安心的感觉。我一定忘不了！	印度北部的特色是沙漠，南部都是森林，还有西部东部的沙滩都漂亮的没话说；看北部的高山让我觉得很高兴还有内安心的感觉。我一定忘不了！
我不知道你听说乌克兰的车尔诺贝力？一九八六年那里发生了很可怕的核子事故，全欧洲受到那个事故的影响。	我不知道你听说乌克兰的车尔诺贝力？一九八六年那里发生了很可怕的核子事故，全欧洲受到那个事故的影响。
我们从波澜坐火车到乌克兰，然后坐公车到且而诺贝力去。我们花三天看这个事故的场地，且而诺贝力的核能电厂。	我们从波兰坐火车到乌克兰，然后坐公车到车尔诺贝力去。我们花三天看这个事故的场地，车尔诺贝力的核能电厂。
我们也去过附近的城市，现在，除了军人以外，连一个人都没有，好像鬼的城市。本来，事故以前，大概五万个人住在那里。	我们也去过附近的城市，现在，除了军人以外，连一个人都没有，好像鬼的城市。本来，事故以前，大概五万个人住在那里。
幸亏，我们的导游以前当了防守车尔诺贝力的军人，他跟那里的军人说一说，送给他们一瓶白酒，他们就让我们进去。	幸亏，我们的导游以前当了防守车尔诺贝力的军人，他跟那里的军人说一说，送给他们一瓶白酒，他们就让我们进去。
我希望快要跟你见面，聊天一下，我现在没有时间写下来所有要告诉你的东西。	我希望快要跟你见面，聊天一下，我现在没有时间写下来所有要告诉你的东西。
我家离洛矶山很远，要三天开车才到，跟朋友一起去很好玩。还有因为我们都会开车如果有人累了，我们就可以换别人，这样比较安全。	我家离洛矶山很远，要三天开车才到，跟朋友一起去很好玩。还有因为我们都会开车如果有人累了，我们就可以换别人，这样比较安全。
我从来都没有当过老师。可是如果我是一位大学老师的话，我一定会想教跟涂油画有关的课程。	我从来都没有当过老师。可是如果我是一位大学老师的话，我一定会想教跟涂油画有关的课程。
因为自己也很喜爱画画和图油画，所以觉得我有这个能力可以好好地教到学生一些有用的东西。	因为自己也很喜爱画画和涂油画，所以觉得我有这个能力可以好好地教到学生一些有用的东西。
比如说上课三个钟头的话，我就会先利用一个钟头的时间来教一点历史。之后两个钟头的时间我会要求一个主题然后让学生们自己决定要怎么图他们的油画。	比如说上课三个钟头的话，我就会先利用一个钟头的时间来教一点历史。之后两个钟头的时间我会要求一个主题然后让学生们自己决定要怎么图他们的油画。
从第一天开始，我会叫我的学生先选他们想要开的审议。	从第一天开始，我会叫我的学生先选他们想要开的生意。
选完以后我会给他们第一步分的说明；怎么开始他们的审议。审议开始以后，我每天会跟我的学生讲他们做对和绰的方法。	选完以后我会给他们第一部分的说明；怎么开始他们的生意。生意开始以后，我每天会跟我的学生讲他们做对和错的方法。
我会教我的学生怎么好好的算钱，怎么跟别的同学一起做事，怎么用网路的工具，也会教他们怎么用法律帮他们，等等。	我会教我的学生怎么好好的算钱，怎么跟别的同学一起做事，怎么用网路的工具，也会教他们怎么用法律帮他们，等等。
我学生可以每天看他们的审议长大。如果他们有什么问题，我会教他们怎么解决这个问题。我不会用书的方法，因为我觉得书不会让学生学到真真的开审议的方法。	我学生可以每天看他们的生意长大。如果他们有什么问题，我会教他们怎么解决这个问题。我不会用书的方法，因为我觉得书不会让学生学到真真的开生意的方法。
我会把百分之八十赚的钱交回学校，留下来的百分之二十，我会还现金给他们。这种的方法是最好的。因为会教学生怎么开他们自己的生意，而且会更努力他们用功的赚钱。	我会把百分之八十赚的钱交回学校，留下来的百分之二十，我会还现金给他们。这种的方法是最好的。因为会教学生怎么开他们自己的生意，而且会更努力他们用功的赚钱。
我觉得语言交换是最好的方法。因为我学中文也是用这个方法的。这个方法可以改自己的发音什么的。语言交换是对学语言的人有很多的办助。	我觉得语言交换是最好的方法。因为我学中文也是用这个方法的。这个方法可以改自己的发音什么的。语言交换是对学语言的人有很多的帮助。
我特别喜欢教的历史是中国的。因为中国的历史不但很长，而且非常有兴趣。还有中国跟台湾像西方学到了那么多事情，我感觉现在该西方了，像中国历史学习一下。	我特别喜欢教的历史是中国的。因为中国的历史不但很长，而且非常有兴趣。还有中国跟台湾向西方学到了那么多事情，我感觉现在该西方了，向中国历史学习一下。
我要少少的班，有大概二十、二十五个学生。	我要小小的班，有大概二十、二十五个学生。
所以我上课的时候，如果学生拿到了好成绩，我会给他小礼物。可是如果学生拿到了怀成绩，我会给他补考。	所以我上课的时候，如果学生拿到了好成绩，我会给他小礼物。可是如果学生拿到了坏成绩，我会给他补考。
从理论很快就要讲到现实，应为经济理论的重点是要来解释现实，上课就要讨论为什么理论能或不能解释现在或过去的经济情况。	从理论很快就要讲到现实，因为经济理论的重点是要来解释现实，上课就要讨论为什么理论能或不能解释现在或过去的经济情况。
我也希望学生可以想出自己的想法，也不怕举手，反对同学或老师（老师并不是一个总是对的人应为在经济方面想法只要有道理就是对的），我觉得这样学生才可以进步。	我也希望学生可以想出自己的想法，也不怕举手，反对同学或老师（老师并不是一个总是对的人因为在经济方面想法只要有道理就是对的），我觉得这样学生才可以进步。
比方说，对最近的金融风暴，我希望每个学生都可以清楚地说明为什么发生地，跟现在要怎么因应，采取那些政策可以解决这个问题。	比方说，对最近的金融风暴，我希望每个学生都可以清楚地说明为什么发生的，跟现在要怎么因应，采取那些政策可以解决这个问题。
以上说的可以看得出来我对学生的要求。背东西不是很重要因为将来，上班的时候，如果有问题的话总是可以去看书，没有人会要求你什么都一定要背进去。	以上说的可以看得出来我对学生的要求。背东西不是很重要因为将来，上班的时候，如果有问题的话总是可以去看书，没有人会要求你什么都一定要背进去。
我的目的就是要让学生有批评想法，因为在生活上经济虽然很重要，有很大的影响，但是根本不能确定谁说对、谁说错的。	我的目的就是要让学生有批评想法，因为在生活上经济虽然很重要，有很大的影响，但是根本不能确定谁说对、谁说错的。
我对学跟教怎么说话很有兴趣。我从小就在跟一流的老师学语言。所以我会用老师教的方法去教课。	我对学跟教怎么说话很有兴趣。我从小就在跟一流的老师学语言。所以我会用老师教的方法去教课。
如果我是大学老师，我会教荷兰文语。我喜欢教学生有很爱的语言。荷兰文很难学，可是我以为你用心去学会学得很好。	如果我是大学老师，我会教荷兰文语。我喜欢教学生有很爱的语言。荷兰文很难学，可是我以为你用心去学会学得很好。
我也教运动课。我觉得运动是很种要，孩子从小要动，不要到他们长大就不喜欢动。	我也教运动课。我觉得运动是很重要，孩子从小要动，不要到他们长大就不喜欢动。
我会用的方法给较六岁的孩子是用游实，用唱歌的方法教他们运动。我也会用这个方法教他们荷兰文。	我会用的方法给教六岁的孩子是用游戏，用唱歌的方法教他们运动。我也会用这个方法教他们荷兰文。
教小孩子要用好玩的方法，不要他们不想听的话。我会带他们每天去出玩，让他们习惯运动。我会教他们怎么样吃才好给身体。什么东西可以吃和什么东西给身体不好。	教小孩子要用好玩的方法，不要他们不想听的话。我会带他们每天去出玩，让他们习惯运动。我会教他们怎么样吃才好给身体。什么东西可以吃和什么东西给身体不好。
我希望学生会诉说一点的荷兰文和会算从一到三十在荷兰文。我也希望学生会喜欢动，不要在家坐著玩电脑。	我希望学生会诉说一点的荷兰文和会算从一到三十在荷兰文。我也希望学生会喜欢动，不要在家坐著玩电脑。
每天我会听考。每隔三天我会大考，只有用这个方法学生才能念的好。	每天我会听考。每隔三天我会大考，只有用这个方法学生才能念的好。
我会让他们吃吃看荷兰的小吃。也会教他们荷兰的习惯。我希望他们也会喜欢荷兰文，他们长大以后会出国去看一看荷兰。	我会让他们吃吃看荷兰的小吃。也会教他们荷兰的习惯。我希望他们也会喜欢荷兰文，他们长大以后会出国去看一看荷兰。
我最希望是他们会爱上语言，就可以学很多语言。去外国可以认识很多的人，就可以借少。	我最希望是他们会爱上语言，就可以学很多语言。去外国可以认识很多的人，就可以介绍。
体力课不但有趣，而且要他们的成绩高。	体育课不但有趣，而且要他们的成绩高。
我觉得说话的能力最重要。去外国的时候非说话不可。所以来我的科学生一定要说很多。他们每次进步很快。	我觉得说话的能力最重要。去外国的时候非说话不可。所以来我的课学生一定要说很多。他们每次进步很快。
一般来说教语言一方面很有意思，一方面比较经松。上课的时候我应该经经松松地教，不必紧张才让学生觉得上课的气氛很好，所以学生才学得好。	一般来说教语言一方面很有意思，一方面比较轻松。上课的时候我应该轻轻松松地教，不必紧张才让学生觉得上课的气氛很好，所以学生才学得好。
我会趁著放假，周末的时间跟学生到有名的地方去旅行，让学生有机会了解中国的文化，历史，有机会实验语言，中国字。	我会趁著放假，周末的时间跟学生到有名的地方去旅行，让学生有机会了解中国的文化，历史，有机会实验语言，中国字。
如果学生有不懂的题目，随时可以问我。不方便在上课的时候问的话，可以下课以后到我的办公司问。	如果学生有不懂的题目，随时可以问我。不方便在上课的时候问的话，可以下课以后到我的办公室问。
我会特别注意说英文这方面。我觉得敢说是最重要的！我当然希望我的学生在各个方面都帮，都好。但是很多人学习语言的时候都不敢讲。厅跟写他们都很不错。所以我会让他们上课的时候多说一点英文。	我会特别注意说英文这方面。我觉得敢说是最重要的！我当然希望我的学生在各个方面都棒，都好。但是很多人学习语言的时候都不敢讲。听跟写他们都很不错。所以我会让他们上课的时候多说一点英文。
而且我觉得学语言的人应该知道用这语演的人的想法。我觉得为了知道他们的想法，学生应该学他们的文化。好像他们的生活方式，历史甚么的。	而且我觉得学语言的人应该知道用这语言的人的想法。我觉得为了知道他们的想法，学生应该学他们的文化。好像他们的生活方式，历史甚么的。
如果这样的话，学生可以学得到很深的语言，还有学生会对他们学得语言。	如果这样的话，学生可以学得到很深的语言，还有学生会对他们学的语言。
如果人不会说中文，他们在亚洲找工作的机会可能有一点难。还是用电脑的习惯我觉得也是很重要的，所以我很开兴现在的小朋友从小有用过电脑。将来会有很多的好处。	如果人不会说中文，他们在亚洲找工作的机会可能有一点难。还是用电脑的习惯我觉得也是很重要的，所以我很开心现在的小朋友从小有用过电脑。将来会有很多的好处。
日过我当大学教授的话，我一定要教历史。为什么？因为我对历史非常兴趣。	如果我当大学教授的话，我一定要教历史。为什么？因为我对历史非常兴趣。
对我来说，人类不得不念历史，人类以前做了很多错的事情，免得这些做错的事再做。	对我来说，人类不得不念历史，人类以前做了很多错的事情，免得这些做错的事再做。
对我来说最容易的办法是先看书一点儿才让学生看今天的社会有跟一前的很像的方面，让他们看虽然全世界进步了很多，可是有的方面还没变了。	对我来说最容易的办法是先看书一点儿才让学生看今天的社会有跟以前的很像的方面，让他们看虽然全世界进步了很多，可是有的方面还没变了。
学身的功课会是现代的政府跟以前的比较，然后报告，他们觉得有什么东西一样，有什么不一样，再说告诉我他们觉得那个比较好。	学生的功课会是现代的政府跟以前的比较，然后报告，他们觉得有什么东西一样，有什么不一样，再说告诉我他们觉得那个比较好。
我的目标是学生会学到我们的父目，父母的父母什么的，给了我们很重要的课，我们得吧他们给我们的课总是记得，不要忘了，要不然我们的社会很容易会退步。	我的目标是学生会学到我们的父母，父母的父母什么的，给了我们很重要的课，我们得把他们给我们的课总是记得，不要忘了，要不然我们的社会很容易会退步。
我认为在大学教书的人不得不有许多经验，非常广的知识，而且对教人有很大的兴趣，要不然会生痛苦的活。我每有这些东西，我不太有耐烦。	我认为在大学教书的人不得不有许多经验，非常广的知识，而且对教人有很大的兴趣，要不然会生痛苦的活。我没有这些东西，我不太有耐烦。
我对语言学有很大的兴趣，对别的科学我不太了解。而且英文，除了波澜文意外，是我最容易说的语言。	我对语言学有很大的兴趣，对别的科学我不太了解。而且英文，除了波兰文以外，是我最容易说的语言。
为甚么我不想教我的母语？因为虽然我当然说很好的波澜文，可是一个关于教波澜文的东西都不知道，我也没有教的经验。	为甚么我不想教我的母语？因为虽然我当然说很好的波兰文，可是一个关于教波兰文的东西都不知道，我也没有教的经验。
我想不出来有特色的教法。我会努力教我的学生，努力给他们清楚的解释。	我想不出来有特色的教法。我会努力教我的学生，努力给他们清楚的解释。
除了常常鼓励他们，我为了鼓励自动自发的态度会给他们很多资料，然后上课的时候回答他们的问题。	除了常常鼓励他们，我为了鼓励自动自发的态度会给他们很多资料，然后上课的时候回答他们的问题。
如果他们不准备好，如果没有问题问我，我很失望。哪里有上大学，不想念书的道理？	如果他们不准备好，如果没有问题问我，我很失望。哪里有上大学，不想念书的道理？
我不能替他们学会语言。我只能告诉他们他们一定要重视他们的时间，不要懒惰地浪费时间。	我不能替他们学会语言。我只能告诉他们他们一定要重视他们的时间，不要懒惰地浪费时间。
我不要我的课很无聊一直在教室写功课、考试什么的。我想常常带我的学生去外面给他们机会用实用的英文。	我不要我的课很无聊一直在教室写功课、考试什么的。我想常常带我的学生去外面给他们机会用实用的英文。
因为我觉得用学的语言跟同学说话不但让语言学生学到不一样的词很说法他们的进步也会很快，所以我也要给他们很多机会跟同学合作。	因为我觉得用学的语言跟同学说话不但让语言学生学到不一样的词跟说法他们的进步也会很快，所以我也要给他们很多机会跟同学合作。
如果学生不能解决现实的问题，吃什么，租房子，交朋友什么的，他们不能适应住在外国，所以他们的生后会有很多困难。	如果学生不能解决现实的问题，吃什么，租房子，交朋友什么的，他们不能适应住在外国，所以他们的生活会有很多困难。
不但这个办法，而且我每个礼拜一次要放给我学生看一部电影。看了电影以后我就教他们把他们的看法写下来，交给我看。	不但这个办法，而且我每个礼拜一次要放给我学生看一部电影。看了电影以后我就教他们把他们的看法写下来，交给我看。
最近，学英文一年比一年重要了。所以我希望我学生们要把英文学好。我知道毕业以后找工作，竞争很激烈，真难找。我相信学生只要早一点学好英文就会给他们比较多机会找到很好的工作。	最近，学英文一年比一年重要了。所以我希望我学生们要把英文学好。我知道毕业以后找工作，竞争很激烈，真难找。我相信学生只要早一点学好英文就会给他们比较多机会找到很好的工作。
不但他对别人很客气，而且他说的话又让我知道很多知识，又很有意思。他又聪明又有趣，我觉得很多女生好像追他，可是看起来他对女生一点都没有兴趣。	不但他对别人很客气，而且他说的话又让我知道很多知识，又很有意思。他又聪明又有趣，我觉得很多女生好想追他，可是看起来他对女生一点都没有兴趣。
快要来圣诞节了，我希望那个时候已经跟他开始交往，我希望你早一点跟他联络，我怕来不起圣诞节，要不然我孤孤单单地一个人过圣诞节。	快要来圣诞节了，我希望那个时候已经跟他开始交往，我希望你早一点跟他联络，我怕来不及圣诞节，要不然我孤孤单单地一个人过圣诞节。
我从现在起，上网要安排吃饭的地方、玩的地方什么的，等你跟他联络，我再会确定的。	我从现在起，上网要安排吃饭的地方、玩的地方什么的，等你跟他联络，我才会确定的。
我跟几个朋友谈一谈的时候有一位高高的男生走过来，找人借给他一枝笔。小妹马上把她的笔借给他，所以我没有机会跟她说。	我跟几个朋友谈一谈的时候有一位高高的男生走过来，找人借给他一枝笔。小妹马上把她的笔借给他，所以我没有机会跟她说。
我真的很想认识她。可是有些问题，我并不知道她的名字，我只知道她是你的同学，因为她说她在科学系读研究所。	我真的很想认识她。可是有些问题，我并不知道她的名字，我只知道她是你的同学，因为她说她在科学系读研究所。
我想我真的喜欢上她了，每天都想出她的脸。我非认识她不可。所以你应该帮我，好不好。	我想我真的喜欢上她了，每天都想出她的脸。我非认识她不可。所以你应该帮我，好不好。
他那天穿了一件很美的绿色上衣，一条很紧的牛仔裤，和一双很流行的靴子。	他那天穿了一件很美的绿色上衣，一条很紧的牛仔裤，和一双很流行的靴子。
他人长得很漂亮：皮肤好像是太阳亲过的，没有太白，也没有太黑，像奶茶的颜色。她的发型比较短，没有到他的肩膀，颜色也很黑。	他人长得很漂亮：皮肤好像是太阳亲过的，没有太白，也没有太黑，像奶茶的颜色。她的发型比较短，没有到他的肩膀，颜色也很黑。
那天他穿著时尚的衣著，带著棕色的眼睛。	那天他穿著时尚的衣著，戴著棕色的眼镜。
他的身材又高又瘦！眼睛大大的、鼻子高高、嘴纯也厚厚的，真的帅死了！	他的身材又高又瘦！眼睛大大的、鼻子高高、嘴唇也厚厚的，真的帅死了！
你首先跟他说当天有没有看到我，说一说我这个人的个性很好，家里有也有很多钱，除了那个以以外长得又高又美要不要跟我见一次面，然后给他我的手机号码！	你首先跟他说当天有没有看到我，说一说我这个人的个性很好，家里有也有很多钱，除了那个以以外长得又高又美要不要跟我见一次面，然后给他我的手机号码！
你记不记得上次在你生日会来了那位辣妹？我当天很想认识她，但是太害羞了。	你记不记得上次在你生日会来了那位辣妹？我当天很想认识她，但是太害羞了。
她那一天带了绿色隐形眼镜，穿著也满流行，衬衫上有「你好猫咪」画图，我觉大她看起来因该差不多十五岁左右。	她那一天带了绿色隐形眼镜，穿著也满流行，衬衫上有「你好猫咪」画图，我觉得她看起来应该差不多十五岁左右。
请你第一时间帮我查出这个女生的资讯，然后马上通知我。在这个包裹里我也放了几首我亲自写的诗。求求你请把它交给我情爱的女生。	请你第一时间帮我查出这个女生的资讯，然后马上通知我。在这个包裹里我也放了几首我亲自写的诗。求求你请把它交给我亲爱的女生。
如果我一个礼拜以内还没收到好的消息，我的心一定会破碎，所以请别浪费时间。	如果我一个礼拜以内还没收到好的消息，我的心一定会破碎，所以请别浪费时间。
我想跟你讨论一个问题：我在你的生日会时候看到一个黑头发的男生。他长得很高，眼睛很大，穿一个红色的上衣跟牛仔裤。	我想跟你讨论一个问题：我在你的生日会时候看到一个黑头发的男生。他长得很高，眼睛很大，穿一个红色的上衣跟牛仔裤。
我觉得这个人长得不错跟很想要跟她认识可是后来，没有机会去跟他说话。	我觉得这个人长得不错跟很想要跟他认识可是后来，没有机会去跟他说话。
你的姐姐说她听说这个男生是从旧金山来的，跟他是一个法律学生。你知道我是对法律很有兴趣，所以我想跟这个男生讨论法律学校是什么样，看如果他可以告诉我他的法律学校的经验是像什么。	你的姐姐说她听说这个男生是从旧金山来的，跟他是一个法律学生。你知道我是对法律很有兴趣，所以我想跟这个男生讨论法律学校是什么样，看如果他可以告诉我他的法律学校的经验是像什么。
你认识这个人吗？如果你知道我在说谁，麻烦你，你能不能帮我去跟他见个面？下个周末，我要请几个朋友过来吃晚饭，给大家认识新朋友。	你认识这个人吗？如果你知道我在说谁，麻烦你，你能不能帮我去跟他见个面？下个周末，我要请几个朋友过来吃晚饭，给大家认识新朋友。
谢谢你！我希望下个周末能见到你们两个！	谢谢你！我希望下个周末能见到你们两个！
最近我的生活变了很苦闷，我天天睡不著而食物也持不下，都是那位美女在你的生日会的错！	最近我的生活变了很苦闷，我天天睡不著而食物也吃不下，都是那位美女在你的生日会的错！
她就是我下过雨的天夏天，没她就让我觉得很期待，那时候我就决定了，她不是从著世界来的，就是对我来说她一定是天使。	她就是我下过雨的天夏天，没她就让我觉得很期待，那时候我就决定了，她不是从这世界来的，就是对我来说她一定是天使。
我那整个晚上想过去跟她说话，一看到她的五官我的手就开始出汗了。我不断的告诉自己别精张，何必害羞呢？如果失败了就失败，何必害怕呢？	我那整个晚上想过去跟她说话，一看到她的五官我的手就开始出汗了。我不断的告诉自己别精张，何必害羞呢？如果失败了就失败，何必害怕呢？
大明我求求你，麻烦你个我介绍给那位天使，我这次初恋了，我不要为了我的倔强错过这个机会，或是我永远不会原谅自己。	大明我求求你，麻烦你个我介绍给那位天使，我这次初恋了，我不要为了我的倔强错过这个机会，或是我永远不会原谅自己。
我之所以给你写信，是因为想跟你说谢谢。你的生日晚会真的太棒了！而且我在你的生日晚会恋爱了！你一定很好奇，对不对？	我之所以给你写信，是因为想跟你说谢谢。你的生日晚会真的太棒了！而且我在你的生日晚会恋爱了！你一定很好奇，对不对？
上个礼拜六，在你最喜欢的夜店，我爱上了最漂亮的女生。我还不知道她的名字呢，可是我已经确定我想当他的白马公主。	上个礼拜六，在你最喜欢的夜店，我爱上了最漂亮的女生。我还不知道她的名字呢，可是我已经确定我想当她的白马公主。
她的脸百百的、园园的，头发黑黑的，眼睛大大的。他穿的衣服也很适合她，看起来就算是一个女神不说，她的性格也算是非常温柔。	她的脸白白的、圆圆的，头发黑黑的，眼睛大大的。她穿的衣服也很适合她，看起来就算是一个女神不说，她的性格也算是非常温柔。
你生日当天我真的玩得很开心，可是最近过的有点儿难过。因为上次去你生日派对的时候我看到了我的初恋情人。你们俩好像很熟，我可不可以问你们俩的关系吗？	你生日当天我真的玩得很开心，可是最近过得有点儿难过。因为上次去你生日派对的时候我看到了我的初恋情人。你们俩好像很熟，我可不可以问你们俩的关系吗？
我希望再跟她联络，我希望跟她说我永远不会忘掉她，也希望跟她说我爱你这三个字。	我希望再跟她联络，我希望跟她说我永远不会忘掉她，也希望跟她说我爱你这三个字。
那个晚上我看到了一个男生。他既高又瘦，我觉得他很帅。他穿了红色的衬衫，白色的裤子。	那个晚上我看到了一个男生。他既高又瘦，我觉得他很帅。他穿了红色的衬衫，白色的裤子。
虽然我认识的台湾人不多，他们都在梦里面，日本朋友一个人都没有，在梦里面连不熟的人都好好地照顾我，可是他一个人不理我，其实跟大家用中文聊天的时候，聊天让我累，可是那个时候没有累的感觉，除了他以外，跟别人聊天很开心。	虽然我认识的台湾人不多，他们都在梦里面，日本朋友一个人都没有，在梦里面连不熟的人都好好地照顾我，可是他一个人不理我，其实跟大家用中文聊天的时候，聊天让我累，可是那个时候没有累的感觉，除了他以外，跟别人聊天很开心。
我感觉看起来好像一直飞，感觉有很多时间的样子，我觉得轻轻松松的样子。初次什么东西都没看到，不过我发现有一点亮亮的地方，我想去亮亮的地方。我通过街和海边，我到了亮亮的地方。	我感觉看起来好像一直飞，感觉有很多时间的样子，我觉得轻轻松松的样子。初次什么东西都没看到，不过我发现有一点亮亮的地方，我想去亮亮的地方。我通过街和海边，我到了亮亮的地方。
那时候我们看到了一只够。这只狗很可爱，所以我们都很喜欢他，我们玩正有兴趣的时候，忽然一个老人来，他对我们说「请你们不要跟这只狗玩，这只狗不是真的够，他本来是一个坏的鬼！」。	那时候我们看到了一只狗。这只狗很可爱，所以我们都很喜欢牠，我们玩正有兴趣的时候，忽然一个老人来，他对我们说「请你们不要跟这只狗玩，这只狗不是真的狗，他本来是一个坏的鬼！」。
我们对他说「拜托请你帮我们！」，可是他对我们说：「谁叫你们不听我说的话？现在你们看我说的是真的。为什么你们总是得先看才能相信我？」。	我们对他说「拜托请你帮我们！」，可是他对我们说：「谁叫你们不听我说的话？现在你们看我说的是真的。为什么你们总是得先看才能相信我？」。
那时候我就睡醒了，我觉得很可怕、不能在睡觉。	那时候我就睡醒了，我觉得很可怕、不能再睡觉。
在那个梦我参加我好朋友的结婚会，在一个法国保诚。人很多，其是地方及死了，但是每一个人看起来好舒服，不注意位子够不够。	在那个梦我参加我好朋友的结婚会，在一个法国堡城。人很多，其实地方挤死了，但是每一个人看起来好舒服，不注意位子够不够。
从小时候开始我很喜欢说中文，不论我说得不好，我每天都跟比我会说中文的人练习。但是现在我说的中文也不好，我知道学国语很难，但是我觉得你要每天赶说中敢虽然你不会进步。	从小时候开始我很喜欢说中文，不论我说得不好，我每天都跟比我会说中文的人练习。但是现在我说的中文也不好，我知道学国语很难，但是我觉得你要每天赶说中敢虽然你不会进步。
我知道，有时候我跟我的爸爸、妈妈说英文都快点回忘了我的中文，我的梦给我的感受很用功因为很难。	我知道，有时候我跟我的爸爸、妈妈说英文都快点敢忘了我的中文，我的梦给我的感受很用功因为很难。
中文对我说是非常很难，不论你会学一千多个字，你不会说很表尊都没有用。	中文对我说是非常很难，不论你会会一千多个字，你不会说很写标都没有用。
我常常在晚上睡觉的时候会作梦。有一些记得住但有些却都忘了。有些梦是常常会梦到的而且每次都是梦到一样的东西。还有一些梦是过了好几天才又想起来的。	我常常在晚上睡觉的时候会作梦。有一些记得住但有些却都忘了。有些梦是常常会梦到的而且每次都是梦到一样的东西。还有一些梦是过了好几天才又想起来的。
